State,Period,Visitor Arrival 
New South Wales,Oct 2015,226.46
New South Wales,Nov 2015,251.08
New South Wales,Dec 2015,350.33
New South Wales,Jan 2016,245.02
New South Wales,Feb 2016,316.29
New South Wales,Mar 2016,298.66
New South Wales,Apr 2016,235.32
New South Wales,May 2016,204.52
New South Wales,Jun 2016,199.94
New South Wales,Jul 2016,248.04
New South Wales,Aug 2016,233.07
New South Wales,Sep 2016,231.42
New South Wales,Oct 2016,249.41
New South Wales,Nov 2016,280.13
New South Wales,Dec 2016,377.47
New South Wales,Jan 2017,297.84
New South Wales,Feb 2017,313.88
New South Wales,Mar 2017,305.54
New South Wales,Apr 2017,275.91
New South Wales,May 2017,222.86
New South Wales,Jun 2017,221.40
New South Wales,Jul 2017,269.51
New South Wales,Aug 2017,257.00
New South Wales,Sep 2017,247.69
New South Wales,Oct 2017,279.16
New South Wales,Nov 2017,302.79
New South Wales,Dec 2017,389.48
New South Wales,Jan 2018,270.17
New South Wales,Feb 2018,360.98
New South Wales,Mar 2018,343.77
New South Wales,Apr 2018,258.38
New South Wales,May 2018,229.40
New South Wales,Jun 2018,229.54
New South Wales,Jul 2018,271.21
New South Wales,Aug 2018,264.22
New South Wales,Sep 2018,251.58
New South Wales,Oct 2018,283.93
New South Wales,Nov 2018,306.21
New South Wales,Dec 2018,403.74
New South Wales,Jan 2019,282.66
New South Wales,Feb 2019,357.42
New South Wales,Mar 2019,314.01
New South Wales,Apr 2019,267.17
New South Wales,May 2019,251.99
New South Wales,Jun 2019,235.05
New South Wales,Jul 2019,268.05
New South Wales,Aug 2019,282.80
New South Wales,Sep 2019,251.73
New South Wales,Oct 2019,285.20
New South Wales,Nov 2019,298.05
New South Wales,Dec 2019,388.71
New South Wales,Jan 2020,280.35
New South Wales,Feb 2020,252.66
New South Wales,Mar 2020,114.51
New South Wales,Apr 2020,0.72
New South Wales,May 2020,1.42
New South Wales,Jun 2020,1.92
New South Wales,Jul 2020,1.57
New South Wales,Aug 2020,1.60
New South Wales,Sep 2020,1.88
New South Wales,Oct 2020,3.44
New South Wales,Nov 2020,4.52
New South Wales,Dec 2020,4.72
New South Wales,Jan 2021,2.91
New South Wales,Feb 2021,2.79
New South Wales,Mar 2021,4.13
New South Wales,Apr 2021,10.94
New South Wales,May 2021,16.49
New South Wales,Jun 2021,16.88
New South Wales,Jul 2021,6.16
New South Wales,Aug 2021,1.45
New South Wales,Sep 2021,0.73
New South Wales,Oct 2021,0.98
New South Wales,Nov 2021,10.21
New South Wales,Dec 2021,37.15
New South Wales,Jan 2022,26.85
New South Wales,Feb 2022,34.90
New South Wales,Mar 2022,62.61
New South Wales,Apr 2022,82.28
New South Wales,May 2022,81.99
New South Wales,Jun 2022,91.34
New South Wales,Jul 2022,107.57
New South Wales,Aug 2022,120.86
New South Wales,Sep 2022,128.98
New South Wales,Oct 2022,150.84
New South Wales,Nov 2022,181.04
New South Wales,Dec 2022,242.05
New South Wales,Jan 2023,159.13
New South Wales,Feb 2023,247.02
New South Wales,Mar 2023,234.00
New South Wales,Apr 2023,200.23
New South Wales,May 2023,189.42
New South Wales,Jun 2023,203.41
New South Wales,Jul 2023,233.53
New South Wales,Aug 2023,230.46
New South Wales,Sep 2023,220.76
New South Wales,Oct 2023,235.23
New South Wales,Nov 2023,255.67
New South Wales,Dec 2023,351.76
New South Wales,Jan 2024,240.65
New South Wales,Feb 2024,352.32
New South Wales,Mar 2024,282.31
New South Wales,Apr 2024,223.79
New South Wales,May 2024,224.37
New South Wales,Jun 2024,209.94
New South Wales,Jul 2024,234.45
Northern Territory,Jul 2014,12.14
Northern Territory,Aug 2014,10.35
Northern Territory,Sep 2014,8.58
Northern Territory,Oct 2014,8.49
Northern Territory,Nov 2014,7.68
Northern Territory,Dec 2014,4.48
Northern Territory,Jan 2015,3.96
Northern Territory,Feb 2015,5.25
Northern Territory,Mar 2015,5.54
Northern Territory,Apr 2015,11.09
Northern Territory,May 2015,5.69
Northern Territory,Jun 2015,13.62
Northern Territory,Jul 2015,12.13
Northern Territory,Aug 2015,8.21
Northern Territory,Sep 2015,6.98
Northern Territory,Oct 2015,6.69
Northern Territory,Nov 2015,5.83
Northern Territory,Dec 2015,4.06
Northern Territory,Jan 2016,3.59
Northern Territory,Feb 2016,4.70
Northern Territory,Mar 2016,5.27
Northern Territory,Apr 2016,8.27
Northern Territory,May 2016,5.53
Northern Territory,Jun 2016,6.12
Northern Territory,Jul 2016,13.54
Northern Territory,Aug 2016,9.47
Northern Territory,Sep 2016,8.44
Northern Territory,Oct 2016,7.20
Northern Territory,Nov 2016,5.44
Northern Territory,Dec 2016,5.96
Northern Territory,Jan 2017,4.08
Northern Territory,Feb 2017,6.62
Northern Territory,Mar 2017,5.67
Northern Territory,Apr 2017,8.15
Northern Territory,May 2017,7.28
Northern Territory,Jun 2017,9.84
Northern Territory,Jul 2017,10.02
Northern Territory,Aug 2017,8.96
Northern Territory,Sep 2017,8.25
Northern Territory,Oct 2017,8.19
Northern Territory,Nov 2017,6.52
Northern Territory,Dec 2017,4.79
Northern Territory,Jan 2018,4.20
Northern Territory,Feb 2018,4.25
Northern Territory,Mar 2018,5.28
Northern Territory,Apr 2018,6.37
Northern Territory,May 2018,5.52
Northern Territory,Jun 2018,6.49
Northern Territory,Jul 2018,8.86
Northern Territory,Aug 2018,8.19
Northern Territory,Sep 2018,7.01
Northern Territory,Oct 2018,5.05
Northern Territory,Nov 2018,5.56
Northern Territory,Dec 2018,5.54
Northern Territory,Jan 2019,3.42
Northern Territory,Feb 2019,5.11
Northern Territory,Mar 2019,4.92
Northern Territory,Apr 2019,7.25
Northern Territory,May 2019,6.06
Northern Territory,Jun 2019,7.07
Northern Territory,Jul 2019,9.46
Northern Territory,Aug 2019,8.82
Northern Territory,Sep 2019,8.45
Northern Territory,Oct 2019,7.46
Northern Territory,Nov 2019,4.37
Northern Territory,Dec 2019,4.48
Northern Territory,Jan 2020,4.01
Northern Territory,Feb 2020,4.39
Northern Territory,Mar 2020,1.67
Northern Territory,Apr 2020,0.01
Northern Territory,May 2020,0.06
Northern Territory,Jun 2020,0.29
Northern Territory,Jul 2020,0.03
Northern Territory,Aug 2020,0.03
Northern Territory,Sep 2020,0.27
Northern Territory,Oct 2020,0.04
Northern Territory,Nov 2020,0.05
Northern Territory,Dec 2020,0.04
Northern Territory,Jan 2021,0.10
