State,Period,Visitor Arrival 
Victoria,Jun 2021,2.49
Victoria,Jul 2021,3.28
Victoria,Aug 2021,1.39
Victoria,Sep 2021,0.72
Victoria,Oct 2021,0.61
Victoria,Nov 2021,6.51
Victoria,Dec 2021,26.34
Victoria,Jan 2022,21.74
Victoria,Feb 2022,29.44
Victoria,Mar 2022,47.66
Victoria,Apr 2022,65.62
Victoria,May 2022,61.66
Victoria,Jun 2022,74.06
Victoria,Jul 2022,81.84
Victoria,Aug 2022,87.33
Victoria,Sep 2022,90.29
Victoria,Oct 2022,110.02
Victoria,Nov 2022,133.52
Victoria,Dec 2022,170.84
Victoria,Jan 2023,109.95
Victoria,Feb 2023,154.57
Victoria,Mar 2023,159.25
Victoria,Apr 2023,144.42
Victoria,May 2023,138.83
Victoria,Jun 2023,132.14
Victoria,Jul 2023,153.26
Victoria,Aug 2023,146.66
Victoria,Sep 2023,139.18
Victoria,Oct 2023,154.04
Victoria,Nov 2023,172.77
Victoria,Dec 2023,236.68
Victoria,Jan 2024,169.91
Victoria,Feb 2024,238.27
Victoria,Mar 2024,199.12
Victoria,Apr 2024,150.72
Victoria,May 2024,155.24
Victoria,Jun 2024,154.82
Victoria,Jul 2024,161.39
Western Australia,Jul 2014,56.76
Western Australia,Aug 2014,50.66
Western Australia,Sep 2014,60.00
Western Australia,Oct 2014,62.42
Western Australia,Nov 2014,67.35
Western Australia,Dec 2014,88.74
Western Australia,Jan 2015,55.37
Western Australia,Feb 2015,71.60
Western Australia,Mar 2015,69.95
Western Australia,Apr 2015,59.80
Western Australia,May 2015,49.06
Western Australia,Jun 2015,50.79
Western Australia,Jul 2015,58.88
Western Australia,Aug 2015,55.36
Western Australia,Sep 2015,62.75
Western Australia,Oct 2015,62.47
Western Australia,Nov 2015,73.05
Western Australia,Dec 2015,94.76
Western Australia,Jan 2016,55.79
Western Australia,Feb 2016,81.07
Western Australia,Mar 2016,78.12
Western Australia,Apr 2016,63.20
Western Australia,May 2016,56.60
Western Australia,Jun 2016,57.63
Western Australia,Jul 2016,67.73
Western Australia,Aug 2016,59.17
Western Australia,Sep 2016,72.19
Western Australia,Oct 2016,71.47
Western Australia,Nov 2016,77.78
Western Australia,Dec 2016,103.40
Western Australia,Jan 2017,63.79
Western Australia,Feb 2017,75.65
Western Australia,Mar 2017,78.24
Western Australia,Apr 2017,71.03
Western Australia,May 2017,58.99
Western Australia,Jun 2017,61.40
Western Australia,Jul 2017,61.46
Western Australia,Aug 2017,64.73
Western Australia,Sep 2017,64.72
Western Australia,Oct 2017,71.83
Western Australia,Nov 2017,77.96
Western Australia,Dec 2017,103.96
Western Australia,Jan 2018,59.81
Western Australia,Feb 2018,82.05
Western Australia,Mar 2018,83.58
Western Australia,Apr 2018,60.04
Western Australia,May 2018,58.35
Western Australia,Jun 2018,62.41
Western Australia,Jul 2018,58.77
Western Australia,Aug 2018,65.92
Western Australia,Sep 2018,64.56
Western Australia,Oct 2018,70.66
Western Australia,Nov 2018,78.83
Western Australia,Dec 2018,104.11
Western Australia,Jan 2019,58.91
Western Australia,Feb 2019,82.46
Western Australia,Mar 2019,74.81
Western Australia,Apr 2019,62.86
Western Australia,May 2019,61.10
Western Australia,Jun 2019,62.95
Western Australia,Jul 2019,65.26
Western Australia,Aug 2019,72.99
Western Australia,Sep 2019,69.39
Western Australia,Oct 2019,77.63
Western Australia,Nov 2019,83.91
Western Australia,Dec 2019,111.80
Western Australia,Jan 2020,73.32
Western Australia,Feb 2020,74.98
Western Australia,Mar 2020,35.49
Western Australia,Apr 2020,0.25
Western Australia,May 2020,0.37
Western Australia,Jun 2020,0.51
Western Australia,Jul 2020,0.46
Western Australia,Aug 2020,0.46
Western Australia,Sep 2020,0.30
Western Australia,Oct 2020,0.64
Western Australia,Nov 2020,0.67
Western Australia,Dec 2020,0.68
Western Australia,Jan 2021,0.65
Western Australia,Feb 2021,0.67
Western Australia,Mar 2021,0.78
Western Australia,Apr 2021,1.36
Western Australia,May 2021,2.30
Western Australia,Jun 2021,2.41
Western Australia,Jul 2021,1.95
Western Australia,Aug 2021,0.83
Western Australia,Sep 2021,0.56
Western Australia,Oct 2021,0.66
Western Australia,Nov 2021,1.09
Western Australia,Dec 2021,1.81
Western Australia,Jan 2022,1.13
Western Australia,Feb 2022,2.87
Western Australia,Mar 2022,16.81
Western Australia,Apr 2022,27.06
Western Australia,May 2022,24.68
Western Australia,Jun 2022,29.19
Western Australia,Jul 2022,32.05
Western Australia,Aug 2022,34.38
Western Australia,Sep 2022,41.29
Western Australia,Oct 2022,44.87
Western Australia,Nov 2022,57.00
Western Australia,Dec 2022,70.61
Western Australia,Jan 2023,40.40
Western Australia,Feb 2023,57.59
Western Australia,Mar 2023,65.30
Western Australia,Apr 2023,59.74
Western Australia,May 2023,49.46
Western Australia,Jun 2023,50.37
Western Australia,Jul 2023,46.45
Western Australia,Aug 2023,54.24
Western Australia,Sep 2023,57.12
Western Australia,Oct 2023,56.43
Western Australia,Nov 2023,67.46
Western Australia,Dec 2023,80.37
Western Australia,Jan 2024,50.30
Western Australia,Feb 2024,78.25
Western Australia,Mar 2024,76.56
Western Australia,Apr 2024,60.57
Western Australia,May 2024,65.82
Western Australia,Jun 2024,62.12
Western Australia,Jul 2024,56.42
