State,Year,TemporaryStudentVisaTYpe,Value
Tasmania,2020,Other Students,120
Tasmania,2021,Higher Education,170
Tasmania,2021,Vocational Educ. & Training,40
Tasmania,2021,Schools,10
Tasmania,2021,Independent ELICOS(f),0
Tasmania,2021,Postgraduate Research,20
Tasmania,2021,Other Students,0
Tasmania,2022,Higher Education,1930
Tasmania,2022,Vocational Educ. & Training,1220
Tasmania,2022,Schools,130
Tasmania,2022,Independent ELICOS(f),40
Tasmania,2022,Postgraduate Research,360
Tasmania,2022,Other Students,90
Tasmania,2023,Higher Education,3050
Tasmania,2023,Vocational Educ. & Training,1330
Tasmania,2023,Schools,310
Tasmania,2023,Independent ELICOS(f),80
Tasmania,2023,Postgraduate Research,560
Tasmania,2023,Other Students,200
Tasmania,2024,Higher Education,1900
Tasmania,2024,Vocational Educ. & Training,380
Tasmania,2024,Schools,360
Tasmania,2024,Independent ELICOS(f),30
Tasmania,2024,Postgraduate Research,300
Tasmania,2024,Other Students,230
Victoria,2005,Higher Education,48700
Victoria,2005,Vocational Educ. & Training,7620
Victoria,2005,Schools,11760
Victoria,2005,Independent ELICOS(f),3220
Victoria,2005,Postgraduate Research,5650
Victoria,2005,Other Students,7560
Victoria,2006,Higher Education,58600
Victoria,2006,Vocational Educ. & Training,10390
Victoria,2006,Schools,11960
Victoria,2006,Independent ELICOS(f),4030
Victoria,2006,Postgraduate Research,3340
Victoria,2006,Other Students,7430
Victoria,2007,Higher Education,69300
Victoria,2007,Vocational Educ. & Training,14730
Victoria,2007,Schools,13160
Victoria,2007,Independent ELICOS(f),4160
Victoria,2007,Postgraduate Research,3230
Victoria,2007,Other Students,7630
Victoria,2008,Higher Education,81230
Victoria,2008,Vocational Educ. & Training,23940
Victoria,2008,Schools,12690
Victoria,2008,Independent ELICOS(f),4350
Victoria,2008,Postgraduate Research,3910
Victoria,2008,Other Students,8080
Victoria,2009,Higher Education,88330
Victoria,2009,Vocational Educ. & Training,34790
Victoria,2009,Schools,13210
Victoria,2009,Independent ELICOS(f),5440
Victoria,2009,Postgraduate Research,4950
Victoria,2009,Other Students,8190
Victoria,2010,Higher Education,88910
Victoria,2010,Vocational Educ. & Training,21020
Victoria,2010,Schools,11820
Victoria,2010,Independent ELICOS(f),4770
Victoria,2010,Postgraduate Research,5830
Victoria,2010,Other Students,8240
Victoria,2011,Higher Education,88190
Victoria,2011,Vocational Educ. & Training,20190
Victoria,2011,Schools,10640
Victoria,2011,Independent ELICOS(f),4460
Victoria,2011,Postgraduate Research,6280
Victoria,2011,Other Students,8580
Victoria,2012,Higher Education,86230
Victoria,2012,Vocational Educ. & Training,18070
Victoria,2012,Schools,10510
Victoria,2012,Independent ELICOS(f),4360
Victoria,2012,Postgraduate Research,6500
Victoria,2012,Other Students,8970
Victoria,2013,Higher Education,90480
Victoria,2013,Vocational Educ. & Training,15900
Victoria,2013,Schools,9350
Victoria,2013,Independent ELICOS(f),5140
Victoria,2013,Postgraduate Research,6750
Victoria,2013,Other Students,10230
Victoria,2014,Higher Education,104400
Victoria,2014,Vocational Educ. & Training,15420
Victoria,2014,Schools,9850
Victoria,2014,Independent ELICOS(f),6350
Victoria,2014,Postgraduate Research,7440
Victoria,2014,Other Students,11450
Victoria,2015,Higher Education,117610
Victoria,2015,Vocational Educ. & Training,16350
Victoria,2015,Schools,11740
Victoria,2015,Independent ELICOS(f),7450
Victoria,2015,Postgraduate Research,7860
Victoria,2015,Other Students,12020
Victoria,2016,Higher Education,140660
Victoria,2016,Vocational Educ. & Training,18990
Victoria,2016,Schools,14350
Victoria,2016,Independent ELICOS(f),8870
Victoria,2016,Postgraduate Research,7920
Victoria,2016,Other Students,11770
Victoria,2017,Higher Education,163430
Victoria,2017,Vocational Educ. & Training,23990
Victoria,2017,Schools,16570
Victoria,2017,Independent ELICOS(f),10010
Victoria,2017,Postgraduate Research,8480
Victoria,2017,Other Students,10740
Victoria,2018,Higher Education,190490
Victoria,2018,Vocational Educ. & Training,29430
Victoria,2018,Schools,17700
Victoria,2018,Independent ELICOS(f),9910
Victoria,2018,Postgraduate Research,9330
Victoria,2018,Other Students,10620
Victoria,2019,Higher Education,204420
Victoria,2019,Vocational Educ. & Training,33310
Victoria,2019,Schools,16810
Victoria,2019,Independent ELICOS(f),11370
Victoria,2019,Postgraduate Research,9890
Victoria,2019,Other Students,9910
Victoria,2020,Higher Education,69780
Victoria,2020,Vocational Educ. & Training,9890
Victoria,2020,Schools,6010
Victoria,2020,Independent ELICOS(f),2960
Victoria,2020,Postgraduate Research,3270
Victoria,2020,Other Students,3660
Victoria,2021,Higher Education,9600
Victoria,2021,Vocational Educ. & Training,1610
Victoria,2021,Schools,170
Victoria,2021,Independent ELICOS(f),100
Victoria,2021,Postgraduate Research,1040
Victoria,2021,Other Students,10
Victoria,2022,Higher Education,83090
Victoria,2022,Vocational Educ. & Training,22240
Victoria,2022,Schools,2900
Victoria,2022,Independent ELICOS(f),12210
Victoria,2022,Postgraduate Research,6830
Victoria,2022,Other Students,4470
Victoria,2023,Higher Education,147190
Victoria,2023,Vocational Educ. & Training,35940
Victoria,2023,Schools,6270
Victoria,2023,Independent ELICOS(f),16530
Victoria,2023,Postgraduate Research,9860
Victoria,2023,Other Students,8650
Victoria,2024,Higher Education,136110
Victoria,2024,Vocational Educ. & Training,20010
Victoria,2024,Schools,6830
Victoria,2024,Independent ELICOS(f),5170
Victoria,2024,Postgraduate Research,7420
Victoria,2024,Other Students,7650
Western Australia,2005,Higher Education,
Western Australia,2005,Vocational Educ. & Training,
Western Australia,2005,Schools,
Western Australia,2005,Independent ELICOS(f),
Western Australia,2005,Postgraduate Research,
Western Australia,2005,Other Students,
Western Australia,2006,Higher Education,0
Western Australia,2006,Vocational Educ. & Training,
Western Australia,2006,Schools,
Western Australia,2006,Independent ELICOS(f),
Western Australia,2006,Postgraduate Research,
Western Australia,2006,Other Students,
Western Australia,2007,Higher Education,0
Western Australia,2007,Vocational Educ. & Training,
Western Australia,2007,Schools,
Western Australia,2007,Independent ELICOS(f),
Western Australia,2007,Postgraduate Research,
Western Australia,2007,Other Students,
Western Australia,2008,Higher Education,0
Western Australia,2008,Vocational Educ. & Training,
Western Australia,2008,Schools,
Western Australia,2008,Independent ELICOS(f),
Western Australia,2008,Postgraduate Research,
Western Australia,2008,Other Students,
Western Australia,2009,Higher Education,0
Western Australia,2009,Vocational Educ. & Training,
Western Australia,2009,Schools,
Western Australia,2009,Independent ELICOS(f),
Western Australia,2009,Postgraduate Research,
Western Australia,2009,Other Students,
Western Australia,2010,Higher Education,0
Western Australia,2010,Vocational Educ. & Training,
Western Australia,2010,Schools,
Western Australia,2010,Independent ELICOS(f),
Western Australia,2010,Postgraduate Research,
Western Australia,2010,Other Students,
Western Australia,2011,Higher Education,0
Western Australia,2011,Vocational Educ. & Training,
Western Australia,2011,Schools,
Western Australia,2011,Independent ELICOS(f),
Western Australia,2011,Postgraduate Research,
Western Australia,2011,Other Students,
Western Australia,2012,Higher Education,0
Western Australia,2012,Vocational Educ. & Training,
Western Australia,2012,Schools,
Western Australia,2012,Independent ELICOS(f),
Western Australia,2012,Postgraduate Research,
Western Australia,2012,Other Students,
Western Australia,2013,Higher Education,0
Western Australia,2013,Vocational Educ. & Training,
Western Australia,2013,Schools,
Western Australia,2013,Independent ELICOS(f),
Western Australia,2013,Postgraduate Research,
Western Australia,2013,Other Students,
Western Australia,2014,Higher Education,0
Western Australia,2014,Vocational Educ. & Training,
Western Australia,2014,Schools,
Western Australia,2014,Independent ELICOS(f),
Western Australia,2014,Postgraduate Research,
Western Australia,2014,Other Students,
Western Australia,2015,Higher Education,0
Western Australia,2015,Vocational Educ. & Training,
Western Australia,2015,Schools,
Western Australia,2015,Independent ELICOS(f),
Western Australia,2015,Postgraduate Research,
Western Australia,2015,Other Students,
Western Australia,2016,Higher Education,0
Western Australia,2016,Vocational Educ. & Training,
Western Australia,2016,Schools,
Western Australia,2016,Independent ELICOS(f),
Western Australia,2016,Postgraduate Research,
Western Australia,2016,Other Students,
Western Australia,2017,Higher Education,0
Western Australia,2017,Vocational Educ. & Training,
Western Australia,2017,Schools,
Western Australia,2017,Independent ELICOS(f),
Western Australia,2017,Postgraduate Research,
Western Australia,2017,Other Students,
Western Australia,2018,Higher Education,0
Western Australia,2018,Vocational Educ. & Training,
Western Australia,2018,Schools,
Western Australia,2018,Independent ELICOS(f),
Western Australia,2018,Postgraduate Research,
Western Australia,2018,Other Students,
Western Australia,2019,Higher Education,0
Western Australia,2019,Vocational Educ. & Training,
Western Australia,2019,Schools,
Western Australia,2019,Independent ELICOS(f),
Western Australia,2019,Postgraduate Research,
Western Australia,2019,Other Students,
Western Australia,2020,Higher Education,0
Western Australia,2020,Vocational Educ. & Training,
Western Australia,2020,Schools,
Western Australia,2020,Independent ELICOS(f),
Western Australia,2020,Postgraduate Research,
Western Australia,2020,Other Students,
Western Australia,2021,Higher Education,0
Western Australia,2021,Vocational Educ. & Training,
Western Australia,2021,Schools,
Western Australia,2021,Independent ELICOS(f),
Western Australia,2021,Postgraduate Research,
Western Australia,2021,Other Students,
Western Australia,2022,Higher Education,0
Western Australia,2022,Vocational Educ. & Training,
Western Australia,2022,Schools,
Western Australia,2022,Independent ELICOS(f),
Western Australia,2022,Postgraduate Research,
Western Australia,2022,Other Students,
Western Australia,2023,Higher Education,0
Western Australia,2023,Vocational Educ. & Training,
Western Australia,2023,Schools,
Western Australia,2023,Independent ELICOS(f),
Western Australia,2023,Postgraduate Research,
Western Australia,2023,Other Students,
Western Australia,2024,Higher Education,0
Western Australia,2024,Vocational Educ. & Training,
Western Australia,2024,Schools,
Western Australia,2024,Independent ELICOS(f),
Western Australia,2024,Postgraduate Research,
Western Australia,2024,Other Students,
